Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
T20,Sri Lanka,England,Beausejour Stadium,West Indies,Sri Lanka,bat,England,128,6,132,3
T20,Pakistan,Australia,Beausejour Stadium,West Indies,Australia,bowl,Australia,191,6,197,7
T20,Australia,England,Kensington Oval,West Indies,England,bowl,England,147,6,148,3
T20,South Africa,West Indies,Sir Vivian Richards Stadium,West Indies,West Indies,bowl,South Africa,136,7,123,10
T20,South Africa,West Indies,Sir Vivian Richards Stadium,West Indies,West Indies,bowl,South Africa,120,7,119,7
T20,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,United States of America,New Zealand,bat,New Zealand,120,7,92,10
T20,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,United States of America,New Zealand,bat,Sri Lanka,81,10,82,3
T20,Zimbabwe,India,Harare Sports Club,Zimbabwe,India,bowl,India,111,9,112,4
T20,Zimbabwe,India,Harare Sports Club,Zimbabwe,India,bowl,India,140,5,144,3
T20,Pakistan,Australia,Edgbaston,England,Pakistan,bat,Pakistan,167,8,144,10
T20,Pakistan,Australia,Edgbaston,England,Pakistan,bat,Pakistan,162,9,151,10
T20,Pakistan,England,Sophia Gardens,England,England,bowl,England,126,4,129,5
T20,Pakistan,England,Sophia Gardens,England,Pakistan,bat,England,89,10,90,4
T20,Zimbabwe,South Africa,OUTsurance Oval,South Africa,Zimbabwe,bat,South Africa,168,4,169,3
T20,South Africa,Zimbabwe,De Beers Diamond Oval,South Africa,South Africa,bat,South Africa,194,6,186,7
T20,Pakistan,South Africa,Sheikh Zayed Stadium,United Arab Emirates,Pakistan,bat,South Africa,119,10,120,4
T20,Pakistan,South Africa,Sheikh Zayed Stadium,United Arab Emirates,Pakistan,bat,South Africa,120,9,125,4
T20,Australia,Sri Lanka,Western Australia Cricket Association Ground,Australia,Australia,bat,Sri Lanka,133,8,135,3
T20,Pakistan,New Zealand,Eden Park,New Zealand,New Zealand,bowl,New Zealand,143,9,146,5
T20,New Zealand,Pakistan,Seddon Park,New Zealand,Pakistan,bowl,New Zealand,185,7,146,9
T20,Pakistan,New Zealand,AMI Stadium,New Zealand,Pakistan,bat,Pakistan,183,6,80,10
T20,India,South Africa,Moses Mabhida Stadium,South Africa,India,bat,India,168,6,147,9
T20,Australia,England,Adelaide Oval,Australia,Australia,bat,England,157,4,158,9
T20,Australia,England,Melbourne Cricket Ground,Australia,Australia,bat,Australia,147,7,143,6
T20,West Indies,Pakistan,Beausejour Stadium,West Indies,West Indies,bat,West Indies,150,7,143,9
T20,India,West Indies,Queen's Park Oval,West Indies,West Indies,bowl,India,159,6,143,5
T20,England,Sri Lanka,County Ground,England,Sri Lanka,bowl,Sri Lanka,136,9,137,1
T20,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,Australia,bowl,Sri Lanka,198,3,163,8
T20,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,Sri Lanka,bat,Sri Lanka,157,9,149,9
T20,India,England,Old Trafford,England,India,bat,England,165,10,169,4
T20,Pakistan,Zimbabwe,Harare Sports Club,Zimbabwe,Zimbabwe,bowl,Pakistan,198,4,113,10
T20,Pakistan,Zimbabwe,Harare Sports Club,Zimbabwe,Pakistan,bat,Pakistan,141,7,136,7
T20,West Indies,England,Kennington Oval,England,England,bowl,England,125,10,128,0
T20,West Indies,England,Kennington Oval,England,England,bowl,West Indies,113,5,88,10
T20,Sri Lanka,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Sri Lanka,161,4,119,3
T20,West Indies,Bangladesh,Shere Bangla National Stadium,Bangladesh,Bangladesh,bowl,Bangladesh,132,8,135,7
T20,South Africa,Australia,Newlands,South Africa,South Africa,bat,Australia,146,7,147,5
T20,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,New Zealand,bowl,New Zealand,123,8,127,0
T20,Australia,South Africa,New Wanderers Stadium,South Africa,Australia,bat,South Africa,147,8,148,7
T20,New Zealand,Zimbabwe,Harare Sports Club,Zimbabwe,Zimbabwe,bowl,New Zealand,187,3,154,10
T20,India,England,Eden Gardens,India,India,bat,England,120,9,121,4
T20,Sri Lanka,Pakistan,Sheikh Zayed Stadium,United Arab Emirates,Sri Lanka,bat,Pakistan,141,10,142,5
T20,Pakistan,Bangladesh,Shere Bangla National Stadium,Bangladesh,Pakistan,bat,Pakistan,135,7,85,9
T20,Australia,India,Stadium Australia,Australia,India,bowl,Australia,171,4,140,6
T20,Australia,India,Melbourne Cricket Ground,Australia,Australia,bat,India,131,10,135,2
T20,Zimbabwe,New Zealand,Eden Park,New Zealand,Zimbabwe,bat,New Zealand,159,8,160,3
T20,Zimbabwe,New Zealand,Seddon Park,New Zealand,Zimbabwe,bat,New Zealand,200,2,202,5
T20,South Africa,New Zealand,Westpac Stadium,New Zealand,New Zealand,bowl,New Zealand,147,6,148,4
T20,India,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,Sri Lanka,bowl,India,155,3,116,10
T20,New Zealand,South Africa,Seddon Park,New Zealand,South Africa,bowl,South Africa,173,4,174,2
T20,South Africa,New Zealand,Eden Park,New Zealand,New Zealand,bowl,South Africa,165,7,162,7
T20,Kenya,Ireland,Mombasa Sports Club Ground,Kenya,Ireland,bowl,Ireland,107,10,109,4
T20,Kenya,Ireland,Mombasa Sports Club Ground,Kenya,Kenya,bat,Ireland,131,7,132,2
T20,Pakistan,England,Dubai International Cricket Stadium,United Arab Emirates,England,bowl,Pakistan,144,6,136,6
T20,Ireland,Kenya,Mombasa Sports Club Ground,Kenya,Ireland,bat,Ireland,107,9,105,7
T20,England,Pakistan,Dubai International Cricket Stadium,United Arab Emirates,England,bat,England,150,7,112,10
T20,England,Pakistan,Sheikh Zayed Stadium,United Arab Emirates,England,bat,England,129,6,124,6
T20,England,New Zealand,Eden Park,New Zealand,New Zealand,bowl,England,214,7,174,9
T20,Netherlands,Canada,Dubai International Cricket Stadium,United Arab Emirates,Netherlands,bat,Netherlands,135,6,93,10
T20,Scotland,Kenya,ICC Global Cricket Academy,United Arab Emirates,Scotland,bat,Scotland,178,7,164,10
T20,Kenya,Ireland,Dubai International Cricket Stadium,United Arab Emirates,Kenya,bat,Ireland,71,10,72,0
T20,Netherlands,Afghanistan,Dubai International Cricket Stadium,United Arab Emirates,Netherlands,bat,Afghanistan,149,6,150,6
T20,Afghanistan,Canada,ICC Global Cricket Academy,United Arab Emirates,Afghanistan,bat,Afghanistan,174,8,133,9
T20,Ireland,Scotland,Dubai International Cricket Stadium,United Arab Emirates,Ireland,bat,Ireland,159,5,142,7
T20,Canada,Ireland,Dubai International Cricket Stadium,United Arab Emirates,Canada,bat,Ireland,106,8,109,0
T20,Scotland,Netherlands,ICC Global Cricket Academy,United Arab Emirates,Scotland,bat,Netherlands,166,6,169,7
T20,Netherlands,Ireland,Dubai International Cricket Stadium,United Arab Emirates,Ireland,bowl,Ireland,114,7,115,3
T20,Canada,Scotland,Dubai International Cricket Stadium,United Arab Emirates,Canada,bat,Scotland,135,8,136,6
T20,Afghanistan,Ireland,Dubai International Cricket Stadium,United Arab Emirates,Afghanistan,bat,Ireland,152,7,156,5
T20,West Indies,Australia,Beausejour Stadium,West Indies,West Indies,bat,Australia,150,7,153,2
T20,South Africa,India,New Wanderers Stadium,South Africa,India,bowl,South Africa,219,4,71,0
T20,West Indies,Australia,Kensington Oval,West Indies,West Indies,bat,West Indies,160,10,146,9
T20,Sri Lanka,Pakistan,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,Sri Lanka,bat,Sri Lanka,132,7,95,10
T20,Pakistan,Sri Lanka,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,Pakistan,bat,Pakistan,122,6,99,10
T20,West Indies,England,Trent Bridge,England,West Indies,bat,England,172,4,173,3
T20,West Indies,New Zealand,Central Broward Regional Park Stadium Turf Ground,United States of America,New Zealand,bowl,West Indies,209,2,153,8
T20,West Indies,New Zealand,Central Broward Regional Park Stadium Turf Ground,United States of America,West Indies,bat,West Indies,177,5,116,10
T20,Bangladesh,Ireland,Civil Service Cricket Club,Ireland,Ireland,bowl,Bangladesh,190,5,119,8
T20,Bangladesh,Ireland,Civil Service Cricket Club,Ireland,Bangladesh,bat,Bangladesh,146,6,145,6
T20,Ireland,Bangladesh,Civil Service Cricket Club,Ireland,Ireland,bat,Bangladesh,140,8,141,8
T20,Scotland,Bangladesh,Sportpark Westvliet,Netherlands,Scotland,bat,Scotland,162,7,128,10
T20,Netherlands,Bangladesh,Sportpark Westvliet,Netherlands,Netherlands,bat,Bangladesh,144,7,145,2
T20,Bangladesh,Netherlands,Sportpark Westvliet,Netherlands,Bangladesh,bat,Netherlands,128,10,131,9
T20,Australia,Pakistan,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,bowl,Pakistan,89,10,90,3
T20,Pakistan,Australia,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,bat,0,151,4,151,8
