Match Format,Team1 Name,Team2 Name,Match Venue (Stadium),Match Venue (Country),Toss Winner,Toss Winner Choice,Match Winner,Team1 Runs Scored,Team1 Wickets Fell,Team2 Runs Scored,Team2 Wickets Fell
ODI,Australia,West Indies,Brisbane Cricket Ground,Australia,West Indies,bowl,West Indies,185,9,186,5
ODI,West Indies,Australia,Sydney Cricket Ground,Australia,Australia,bowl,Australia,189,10,168,7
ODI,West Indies,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,West Indies,216,8,130,10
ODI,West Indies,Australia,Melbourne Cricket Ground,Australia,West Indies,bat,West Indies,235,9,107,10
ODI,Australia,West Indies,Sydney Cricket Ground,Australia,West Indies,bowl,Australia,214,8,168,10
ODI,West Indies,Australia,Sydney Cricket Ground,Australia,West Indies,bat,West Indies,234,6,216,9
ODI,England,India,Barabati Stadium,India,India,bowl,India,230,6,231,5
ODI,New Zealand,Australia,Eden Park,New Zealand,Australia,bowl,New Zealand,240,6,194,10
ODI,England,Sri Lanka,Sinhalese Sports Club Ground,Sri Lanka,Sri Lanka,bowl,England,211,10,206,8
ODI,Sri Lanka,England,Sinhalese Sports Club Ground,Sri Lanka,England,bowl,Sri Lanka,215,7,212,10
ODI,New Zealand,Australia,Carisbrook,New Zealand,Australia,bowl,Australia,159,9,160,4
ODI,New Zealand,Australia,Basin Reserve,New Zealand,Australia,bowl,Australia,74,10,75,2
ODI,Sri Lanka,Pakistan,National Stadium,Pakistan,Pakistan,bowl,Pakistan,171,3,174,2
ODI,Pakistan,Sri Lanka,Gaddafi Stadium,Pakistan,Sri Lanka,bowl,Sri Lanka,239,4,227,4
ODI,Sri Lanka,Pakistan,National Stadium,Pakistan,Pakistan,bowl,Pakistan,218,10,222,5
ODI,India,England,Headingley,England,England,bowl,England,193,10,194,1
ODI,England,India,Kennington Oval,England,India,bowl,England,276,9,162,8
ODI,Pakistan,England,Trent Bridge,England,Pakistan,bat,England,250,6,252,3
ODI,England,Pakistan,Old Trafford,England,Pakistan,bowl,England,295,8,222,10
ODI,India,Sri Lanka,Gandhi Sports Complex Ground,India,Sri Lanka,bowl,India,269,7,191,8
ODI,Sri Lanka,India,Feroz Shah Kotla,India,Sri Lanka,bat,India,277,8,281,4
ODI,Pakistan,Australia,Niaz Stadium,Pakistan,Australia,bowl,Pakistan,229,6,170,9
ODI,Sri Lanka,India,Karnataka State Cricket Association Stadium,India,Sri Lanka,bat,India,233,8,234,4
ODI,Pakistan,Australia,Gaddafi Stadium,Pakistan,Australia,bowl,Pakistan,234,3,206,4
ODI,Pakistan,Australia,National Stadium,Pakistan,Australia,bowl,0,44,1,0,0
ODI,Pakistan,India,Municipal Stadium,Pakistan,India,bowl,Pakistan,224,4,210,6
ODI,Pakistan,India,Ibn-e-Qasim Bagh Stadium,Pakistan,Pakistan,bat,Pakistan,263,2,226,7
ODI,Pakistan,India,Gaddafi Stadium,Pakistan,Pakistan,bat,India,252,3,193,4
ODI,New Zealand,Australia,Melbourne Cricket Ground,Australia,Australia,bowl,Australia,181,10,182,2
ODI,Australia,England,Sydney Cricket Ground,Australia,England,bowl,Australia,180,10,149,10
ODI,New Zealand,England,Melbourne Cricket Ground,Australia,England,bowl,New Zealand,239,8,237,8
ODI,England,New Zealand,Brisbane Cricket Ground,Australia,New Zealand,bowl,England,267,6,213,10
ODI,England,Australia,Brisbane Cricket Ground,Australia,Australia,bowl,Australia,182,10,184,3
ODI,New Zealand,Australia,Sydney Cricket Ground,Australia,Australia,bowl,New Zealand,226,8,179,10
ODI,New Zealand,England,Sydney Cricket Ground,Australia,New Zealand,bat,England,199,10,200,2
ODI,India,Pakistan,National Stadium,Pakistan,India,bat,Pakistan,197,6,198,2
